benchmark,cpu_time,number_of_decisions,status,wall_time
j2026_2,1.56s,2041726,OPTIMAL,1.63s
j2026_3,1.73s,2129776,OPTIMAL,1.82s
j2026_4,1.99s,2060718,OPTIMAL,2.02s
j2026_5,996.48ms,2307324,OPTIMAL,1.06s
j2026_6,2.02s,1906984,OPTIMAL,2.08s
j2026_7,783.12ms,1993972,OPTIMAL,834.58ms
j2026_8,1.69s,1491399,OPTIMAL,1.80s
j2026_9,1.58s,1959134,OPTIMAL,1.65s
j2027_1,1.29s,3148293,OPTIMAL,1.36s
j2027_10,2.54s,3901519,OPTIMAL,2.80s
j2027_2,1.84s,2701350,OPTIMAL,1.91s
j2027_3,1.59s,2632526,OPTIMAL,1.71s
j2027_4,1.91s,2948403,OPTIMAL,2.00s
j2027_5,2.30s,2471216,OPTIMAL,2.36s
j2027_6,1.68s,2554725,OPTIMAL,1.72s
j2027_7,1.29s,2695907,OPTIMAL,1.41s
j2027_8,2.40s,3029823,OPTIMAL,2.55s
j2027_9,2.48s,3435471,OPTIMAL,2.59s
j2028_1,1.92s,4351736,OPTIMAL,2.02s
j2028_10,1.93s,5584419,OPTIMAL,1.98s
j2028_2,1.90s,3114664,OPTIMAL,1.96s
j2028_3,2.10s,4633300,OPTIMAL,2.55s
j2028_4,2.10s,2977687,OPTIMAL,2.19s
j2028_5,1.88s,3780888,OPTIMAL,1.96s
j2028_6,1.12s,4527775,OPTIMAL,1.17s
j2028_7,2.41s,3224476,OPTIMAL,2.50s
j2028_8,1.56s,3618205,OPTIMAL,1.64s
j2028_9,2.09s,6023523,OPTIMAL,3.81s
j2029_1,5.15s,315870,UNKNOWN,5.28s
j2029_10,5.97s,2592049,SATISFIABLE,6.06s
j2029_2,5.47s,2284405,SATISFIABLE,5.67s
j2029_3,5.15s,2811483,SATISFIABLE,5.25s
j2029_4,5.14s,333844,UNKNOWN,5.60s
j2029_5,5.17s,420245,UNKNOWN,5.27s
j2029_6,5.16s,479518,UNKNOWN,5.25s
j2029_7,5.22s,1020198,UNKNOWN,5.32s
j2029_8,5.63s,3138771,SATISFIABLE,5.73s
j2029_9,5.16s,420615,UNKNOWN,5.31s
j2030_1,4.24s,5304534,OPTIMAL,4.33s
j2030_10,5.10s,2063562,SATISFIABLE,5.25s
j2030_2,5.14s,5228872,SATISFIABLE,5.24s
j2030_3,5.19s,242611,UNKNOWN,5.30s
j2030_4,2.74s,5497762,OPTIMAL,2.83s
j2030_5,5.25s,340455,UNKNOWN,5.35s
j2030_6,4.47s,4192565,OPTIMAL,4.61s
j2030_7,5.28s,2897160,SATISFIABLE,5.38s
j2030_8,3.15s,6979857,OPTIMAL,3.20s
j2030_9,2.80s,4182958,OPTIMAL,3.45s
j2031_1,4.55s,6139951,OPTIMAL,4.69s
j2031_10,5.16s,5556121,SATISFIABLE,5.25s
j2031_2,5.01s,6017149,SATISFIABLE,5.20s
j2031_3,4.02s,5633949,OPTIMAL,4.13s
j2031_4,2.99s,4382614,OPTIMAL,3.21s
j2031_5,3.37s,8166381,OPTIMAL,3.45s
j2031_6,2.26s,5668297,OPTIMAL,2.29s
j2031_7,2.72s,5267774,OPTIMAL,2.82s
j2031_8,1.65s,5436023,OPTIMAL,1.72s
j2031_9,4.96s,6066980,SATISFIABLE,5.29s
j2032_1,4.13s,7010936,OPTIMAL,4.40s
j2032_10,4.25s,8176947,OPTIMAL,4.37s
j2032_2,1.96s,7351799,OPTIMAL,2.05s
j2032_3,2.82s,7488645,OPTIMAL,2.90s
j2032_4,2.43s,5942557,OPTIMAL,2.52s
j2032_5,1.86s,7779735,OPTIMAL,1.93s
j2032_6,4.30s,9803313,OPTIMAL,4.89s
j2032_7,2.19s,6366664,OPTIMAL,2.27s
j2032_8,4.63s,7956091,OPTIMAL,4.76s
j2032_9,3.64s,6628593,OPTIMAL,3.81s
j2033_1,5.05s,831164,SATISFIABLE,5.16s
j2033_10,5.50s,644034,SATISFIABLE,5.60s
j2033_2,5.79s,2544234,SATISFIABLE,5.90s
j2033_3,5.15s,438128,SATISFIABLE,5.23s
j2033_4,5.16s,1598461,SATISFIABLE,5.62s
j2033_5,5.73s,484258,SATISFIABLE,5.84s
j2033_6,5.87s,757354,SATISFIABLE,5.96s
