benchmark,cpu_time,number_of_decisions,status,wall_time
J5058_2,100.52,147624838,OPTIMAL,103.25
J5058_3,104.74,123479408,OPTIMAL,107.2
J5058_4,181.83,99830012,SATISFIABLE,185.3
J5058_5,182.26,74990481,SATISFIABLE,185.25
J5059_1,120.02,125895574,OPTIMAL,123.51
J5059_2,95.61,151046495,OPTIMAL,97.55
J5059_3,181.96,107550681,SATISFIABLE,184.24
J5059_4,182.11,101581566,SATISFIABLE,184.46
J5059_5,117.67,177494871,OPTIMAL,119.7
J505_1,30.41,35752377,OPTIMAL,31.4
J505_2,43.9,34723442,OPTIMAL,44.98
J505_3,32.51,32949035,OPTIMAL,33.55
J505_4,55.57,42030529,OPTIMAL,56.9
J505_5,40.99,35334564,OPTIMAL,42.34
J5060_1,61.46,91256861,OPTIMAL,63.23
J5060_2,94.65,119811490,OPTIMAL,96.59
J5060_3,139.7,98183594,OPTIMAL,142.24
J5060_4,117.91,121183401,OPTIMAL,120.83
J5060_5,95.48,111074258,OPTIMAL,97.51
J5061_1,181.41,69977769,SATISFIABLE,191.0
J5061_2,178.71,8511014,UNKNOWN,180.59
J5061_3,178.7,11773554,UNKNOWN,181.03
J5061_4,182.13,93098986,SATISFIABLE,184.83
J5061_5,180.95,111844681,SATISFIABLE,184.02
J5062_1,181.2,75418763,SATISFIABLE,183.71
J5062_2,181.01,115251272,SATISFIABLE,183.23
J5062_3,181.48,92512577,SATISFIABLE,184.15
J5062_4,180.67,77876339,SATISFIABLE,183.46
J5062_5,181.71,64938229,SATISFIABLE,192.84
J5063_1,131.06,121381932,OPTIMAL,134.36
J5063_2,92.73,127986723,OPTIMAL,95.0
J5063_3,46.2,65890131,OPTIMAL,48.34
J5063_4,25.96,48464304,OPTIMAL,27.2
J5063_5,48.92,73238551,OPTIMAL,50.57
J5064_1,81.87,81647988,OPTIMAL,83.71
J5064_2,67.11,63286122,OPTIMAL,68.46
J5064_3,36.1,57902387,OPTIMAL,37.56
J5064_4,52.08,93115434,OPTIMAL,54.4
J5064_5,77.68,65749527,OPTIMAL,79.17
J5065_1,33.61,63964064,OPTIMAL,34.81
J5065_2,60.68,91006120,OPTIMAL,62.56
J5065_3,58.94,68683248,OPTIMAL,60.5
J5065_4,46.56,83436469,OPTIMAL,49.54
J5065_5,95.46,99777573,OPTIMAL,98.23
J5066_1,42.9,76385384,OPTIMAL,44.22
J5066_2,45.13,70549426,OPTIMAL,46.44
J5066_3,93.97,131095277,OPTIMAL,97.18
J5066_4,24.46,57735871,OPTIMAL,25.73
J5066_5,50.52,60563264,OPTIMAL,51.98
J5067_1,182.77,196810166,SATISFIABLE,185.02
J5067_3,180.43,175360167,SATISFIABLE,184.73
J5067_5,182.62,106093415,SATISFIABLE,185.69
J5068_3,182.54,130826599,SATISFIABLE,185.32
J5068_5,182.83,170032268,SATISFIABLE,185.47
J5069_1,127.31,177402685,OPTIMAL,130.24
J5069_2,182.53,201079166,SATISFIABLE,186.3
J5069_4,63.27,189468478,OPTIMAL,66.17
J506_1,33.55,39496260,OPTIMAL,35.0
J506_2,60.22,35705378,OPTIMAL,61.88
J506_3,41.73,23394605,OPTIMAL,43.13
J506_4,14.67,24058318,OPTIMAL,15.88
J506_5,28.54,24350876,OPTIMAL,29.79
J5070_3,181.94,205966988,SATISFIABLE,185.6
J5070_5,181.0,161102733,SATISFIABLE,184.8
J5071_4,126.9,197623570,OPTIMAL,129.59
J5072_1,64.41,136271279,OPTIMAL,67.7
J5072_2,84.21,155007320,OPTIMAL,86.61
J5072_3,92.63,198809901,OPTIMAL,95.81
J5072_4,116.12,157586576,OPTIMAL,118.6
J5073_1,180.34,13286694,SATISFIABLE,181.74
J5073_2,180.28,10568046,SATISFIABLE,182.19
J5073_3,181.3,10581669,SATISFIABLE,182.61
J5073_4,180.53,12192555,SATISFIABLE,181.92
J5073_5,179.86,12443518,SATISFIABLE,182.33
J5074_1,180.78,21823122,SATISFIABLE,183.01
J5074_2,180.66,13303899,SATISFIABLE,182.46
J5074_3,180.32,11715985,SATISFIABLE,182.18
J5074_4,180.52,16286562,SATISFIABLE,182.02
J5074_5,181.06,19844010,SATISFIABLE,183.61
J5075_1,21.09,13965269,OPTIMAL,23.12
J5075_2,28.75,16351819,OPTIMAL,29.82
J5075_3,19.4,13373498,OPTIMAL,20.25
J5075_4,16.76,12688849,OPTIMAL,18.04
J5075_5,16.45,15147776,OPTIMAL,18.07
J5076_1,181.09,15695096,SATISFIABLE,182.95
J5076_2,180.49,11577782,SATISFIABLE,182.26
J5076_3,181.03,18128953,SATISFIABLE,182.78
J5076_4,44.51,10981056,OPTIMAL,45.7
J5076_5,177.49,13378860,SATISFIABLE,182.53
J5077_1,25.28,17373385,OPTIMAL,26.11
J5077_2,23.82,15954488,OPTIMAL,25.17
J5077_3,44.62,25084149,OPTIMAL,45.7
J5077_4,51.38,19418563,OPTIMAL,52.27
J5077_5,24.76,23489856,OPTIMAL,25.6
J5078_1,35.15,20951129,OPTIMAL,36.18
J5078_2,15.13,15288638,OPTIMAL,16.07
J5078_3,34.44,21736864,OPTIMAL,35.27
J5078_4,16.92,12608922,OPTIMAL,18.13
J5078_5,24.69,20573641,OPTIMAL,25.57
J5079_1,179.24,5489315,UNKNOWN,181.22
J5079_2,181.2,16852520,SATISFIABLE,183.14
J5079_3,179.52,9896397,UNKNOWN,181.15
J5079_4,181.21,31863445,SATISFIABLE,183.22
J5079_5,180.55,12990100,SATISFIABLE,182.62
J507_1,182.32,89509180,SATISFIABLE,184.93
J507_2,178.68,22248067,UNKNOWN,181.03
J507_3,181.78,55244383,SATISFIABLE,184.21
J507_4,180.02,44112440,SATISFIABLE,183.33
J507_5,174.4,52152908,SATISFIABLE,184.3
J5080_1,181.56,26005558,SATISFIABLE,183.41
J5080_2,181.0,29771529,SATISFIABLE,183.12
J5080_3,180.82,24144340,SATISFIABLE,183.11
J5080_4,181.73,35961478,SATISFIABLE,183.54
J5080_5,181.05,26583064,SATISFIABLE,183.26
J5081_1,181.85,34599260,SATISFIABLE,183.5
J5081_2,112.08,32404474,OPTIMAL,114.16
J5081_3,179.33,27123182,SATISFIABLE,182.18
J5081_4,180.92,31870885,SATISFIABLE,182.74
J5081_5,181.23,29052709,SATISFIABLE,183.43
J5082_1,180.6,17348518,SATISFIABLE,183.54
J5082_2,181.1,25102469,SATISFIABLE,183.06
J5082_3,181.63,31376068,SATISFIABLE,183.48
J5082_4,179.96,22189554,SATISFIABLE,182.85
J5082_5,180.52,24263931,SATISFIABLE,182.4
J5083_1,180.81,49564366,SATISFIABLE,182.61
J5083_2,128.41,55927162,OPTIMAL,130.39
J5083_3,181.16,43870681,SATISFIABLE,183.19
J5083_4,179.76,29411547,SATISFIABLE,183.08
J5083_5,180.52,36290462,SATISFIABLE,182.35
J5084_1,180.74,25330949,SATISFIABLE,183.22
J5084_2,180.77,30983037,SATISFIABLE,183.22
J5084_3,177.71,25755319,SATISFIABLE,183.29
J5084_4,180.54,23577795,SATISFIABLE,182.56
J5084_5,180.41,35791741,SATISFIABLE,182.65
J5085_1,181.04,29966199,SATISFIABLE,183.19
J5085_2,180.24,17883558,SATISFIABLE,181.98
J5085_3,179.93,24483343,SATISFIABLE,182.11
J5085_4,181.0,33645360,SATISFIABLE,182.75
J5085_5,173.31,19090387,SATISFIABLE,184.58
J5086_1,172.05,29115544,SATISFIABLE,182.48
J5086_2,180.46,35704168,SATISFIABLE,183.4
J5086_3,180.03,24273147,SATISFIABLE,182.94
J5086_4,180.89,29952371,SATISFIABLE,182.93
J5086_5,180.45,37812959,SATISFIABLE,182.53
J5087_1,25.15,23290284,OPTIMAL,26.35
J5087_2,16.49,19056007,OPTIMAL,17.22
J5087_3,22.95,27993750,OPTIMAL,24.03
J5087_4,29.0,23301720,OPTIMAL,29.98
J5087_5,41.1,30748908,OPTIMAL,42.6
J5088_1,180.99,20013435,SATISFIABLE,182.68
J5088_2,179.58,20830803,SATISFIABLE,182.35
J5088_3,179.5,16251724,SATISFIABLE,182.41
J5088_4,67.38,28661205,OPTIMAL,69.5
J5088_5,181.17,23315062,SATISFIABLE,183.22
J5089_1,53.53,43078135,OPTIMAL,55.54
J5089_2,52.84,37905100,OPTIMAL,54.38
J5089_3,30.3,39042966,OPTIMAL,31.17
