benchmark,cpu_time,number_of_decisions,status,wall_time
j2028_4,1.83s,2977687,OPTIMAL,1.93s
j2028_5,1.77s,3780888,OPTIMAL,2.30s
j2028_6,1.28s,4527775,OPTIMAL,1.33s
j2028_7,1.97s,3224476,OPTIMAL,2.05s
j2028_8,1.00s,3618205,OPTIMAL,1.11s
j2028_9,3.00s,6023523,OPTIMAL,3.62s
j2029_1,60.04s,1192004,SATISFIABLE,60.49s
j2029_10,34.55s,5652629,OPTIMAL,36.06s
j2029_2,26.12s,5512891,OPTIMAL,26.34s
j2029_3,23.77s,4899360,OPTIMAL,23.97s
j2029_4,60.10s,1126904,SATISFIABLE,60.51s
j2029_5,60.49s,2585221,SATISFIABLE,61.13s
j2029_6,60.35s,1500378,SATISFIABLE,60.71s
j2029_7,59.78s,1756458,SATISFIABLE,60.16s
j2029_8,29.22s,5911254,OPTIMAL,29.43s
j2029_9,59.94s,750092,UNKNOWN,60.28s
j2030_1,4.04s,5304534,OPTIMAL,4.18s
j2030_10,5.67s,4992342,OPTIMAL,5.78s
j2030_2,20.03s,8305549,OPTIMAL,20.39s
j2030_3,48.53s,1002117,OPTIMAL,48.85s
j2030_4,3.00s,5497762,OPTIMAL,3.08s
j2030_5,50.26s,8548183,OPTIMAL,50.78s
j2030_6,3.31s,4192565,OPTIMAL,3.41s
j2030_7,13.75s,6116005,OPTIMAL,13.96s
j2030_8,3.61s,6979857,OPTIMAL,3.75s
j2030_9,2.77s,4182958,OPTIMAL,2.90s
j2031_1,2.73s,6139951,OPTIMAL,2.81s
j2031_10,3.31s,5556705,OPTIMAL,3.42s
j2031_2,4.78s,6388629,OPTIMAL,4.88s
j2031_3,2.96s,5633949,OPTIMAL,3.10s
j2031_4,4.35s,4382614,OPTIMAL,4.58s
j2031_5,2.98s,8166381,OPTIMAL,3.07s
j2031_6,2.27s,5668297,OPTIMAL,2.43s
j2031_7,3.17s,5267774,OPTIMAL,3.26s
j2031_8,1.78s,5436023,OPTIMAL,1.88s
j2031_9,3.38s,6266661,OPTIMAL,3.49s
j2032_1,3.64s,7010936,OPTIMAL,3.82s
j2032_10,2.96s,8176947,OPTIMAL,3.09s
j2032_2,2.42s,7351799,OPTIMAL,2.55s
j2032_3,3.12s,7488645,OPTIMAL,3.21s
j2032_4,2.33s,5942557,OPTIMAL,2.43s
j2032_5,1.82s,7779735,OPTIMAL,1.99s
j2032_6,3.10s,9803313,OPTIMAL,3.22s
j2032_7,2.23s,6366664,OPTIMAL,2.47s
