benchmark,cpu_time,number_of_decisions,status,wall_time
J5096_1,57.06s,1289140,OPTIMAL,57.97s
J5096_2,181.37s,1557946,SATISFIABLE,183.06s
J5096_3,29.87s,1175255,OPTIMAL,30.64s
J5096_4,16.62s,1030387,OPTIMAL,17.19s
J5096_5,181.61s,1017628,SATISFIABLE,182.92s
J5097_1,181.40s,1178852,SATISFIABLE,182.66s
J5097_2,180.26s,1492302,SATISFIABLE,182.57s
J5097_3,180.60s,2862590,SATISFIABLE,181.80s
J5097_4,180.36s,2000451,SATISFIABLE,182.82s
J5097_5,181.57s,1212325,SATISFIABLE,182.94s
J5098_1,180.99s,2808621,SATISFIABLE,182.57s
J5098_2,181.45s,1534409,SATISFIABLE,183.23s
J5098_3,180.85s,1420401,SATISFIABLE,182.22s
J5098_4,180.93s,1334335,SATISFIABLE,182.87s
J5098_5,180.91s,1439797,SATISFIABLE,182.15s
J5099_1,19.72s,2800758,OPTIMAL,20.43s
J5099_2,6.56s,316378,OPTIMAL,7.05s
J5099_3,8.86s,839441,OPTIMAL,9.42s
J5099_4,10.88s,851494,OPTIMAL,11.90s
J5099_5,10.77s,1023405,OPTIMAL,11.28s
J509_1,181.11s,2926696,SATISFIABLE,183.81s
J509_2,181.53s,2390850,SATISFIABLE,183.54s
J509_3,182.49s,1431834,SATISFIABLE,183.75s
J509_4,182.16s,1964490,SATISFIABLE,184.52s
J509_5,181.33s,7109792,SATISFIABLE,183.45s
