benchmark,cpu_time,number_of_decisions,status,wall_time
j2025_9,577.77ms,166427,OPTIMAL,649.87ms
j2026_1,339.48ms,62572,OPTIMAL,691.56ms
j2026_10,888.49ms,233131,OPTIMAL,1.12s
j2026_2,614.52ms,168674,OPTIMAL,664.68ms
j2026_3,544.92ms,137908,OPTIMAL,621.61ms
j2026_4,563.52ms,189878,OPTIMAL,618.58ms
j2026_5,575.21ms,164144,OPTIMAL,642.66ms
j2026_6,569.73ms,296757,OPTIMAL,723.99ms
j2026_7,427.42ms,114848,OPTIMAL,490.16ms
j2026_8,497.42ms,124654,OPTIMAL,694.79ms
j2026_9,569.84ms,151710,OPTIMAL,676.96ms
j2027_1,658.22ms,170932,OPTIMAL,739.37ms
j2027_10,663.37ms,178626,OPTIMAL,941.23ms
j2027_2,609.78ms,166928,OPTIMAL,688.82ms
j2027_3,453.04ms,100904,OPTIMAL,684.65ms
j2027_4,622.95ms,158264,OPTIMAL,707.64ms
j2027_5,647.00ms,206803,OPTIMAL,1.00s
j2027_6,552.85ms,147019,OPTIMAL,729.44ms
j2027_7,621.15ms,191641,OPTIMAL,684.73ms
j2027_8,563.88ms,185301,OPTIMAL,1.43s
j2027_9,530.36ms,132042,OPTIMAL,581.53ms
j2028_1,775.77ms,183743,OPTIMAL,882.44ms
j2028_10,800.69ms,246108,OPTIMAL,889.78ms
j2028_2,740.19ms,192456,OPTIMAL,822.26ms
j2028_3,762.09ms,190735,OPTIMAL,893.77ms
j2028_4,583.12ms,181175,OPTIMAL,1.23s
j2028_5,662.95ms,197073,OPTIMAL,982.34ms
j2028_6,589.09ms,96589,OPTIMAL,669.52ms
j2028_7,650.93ms,203599,OPTIMAL,2.01s
j2028_8,730.87ms,222670,OPTIMAL,2.58s
j2028_9,830.88ms,200760,OPTIMAL,935.42ms
j2029_1,14.70s,546804,OPTIMAL,15.18s
j2029_10,4.96s,415382,OPTIMAL,5.06s
j2029_2,2.40s,222722,OPTIMAL,2.47s
j2029_3,2.21s,370171,OPTIMAL,2.39s
j2029_4,4.88s,463088,OPTIMAL,6.38s
j2029_5,20.94s,418711,SATISFIABLE,21.10s
j2029_6,5.36s,706718,OPTIMAL,5.50s
j2029_7,19.37s,815243,SATISFIABLE,21.00s
j2029_8,4.60s,318043,OPTIMAL,4.77s
j2029_9,14.34s,617251,OPTIMAL,14.46s
j2030_1,1.18s,173018,OPTIMAL,2.03s
j2030_10,1.31s,362964,OPTIMAL,1.42s
j2030_2,4.77s,1187766,OPTIMAL,4.93s
j2030_3,2.24s,202611,OPTIMAL,2.33s
j2030_4,1.03s,208932,OPTIMAL,1.30s
j2030_5,4.91s,325358,OPTIMAL,5.04s
j2030_6,963.23ms,164362,OPTIMAL,1.03s
j2030_7,1.36s,223928,OPTIMAL,1.41s
j2030_8,1.45s,228239,OPTIMAL,1.54s
j2030_9,960.91ms,191461,OPTIMAL,1.11s
j2031_1,1.50s,210944,OPTIMAL,1.59s
j2031_10,1.43s,222325,OPTIMAL,1.51s
j2031_2,1.34s,185996,OPTIMAL,1.53s
j2031_3,1.42s,270107,OPTIMAL,1.80s
j2031_4,1.20s,209480,OPTIMAL,1.27s
j2031_5,1.12s,192223,OPTIMAL,2.97s
j2031_6,1.29s,207434,OPTIMAL,1.44s
j2031_7,1.02s,142184,OPTIMAL,1.11s
j2031_8,1.20s,184982,OPTIMAL,1.27s
j2031_9,903.29ms,145889,OPTIMAL,1.02s
j2032_1,1.10s,171502,OPTIMAL,2.01s
j2032_10,1.62s,165454,OPTIMAL,1.71s
j2032_2,960.66ms,96439,OPTIMAL,1.55s
j2032_3,1.61s,240647,OPTIMAL,1.67s
j2032_4,907.21ms,131036,OPTIMAL,1.15s
j2032_5,1.37s,202898,OPTIMAL,1.70s
j2032_6,1.74s,225638,OPTIMAL,1.94s
j2032_7,1.38s,206119,OPTIMAL,1.52s
j2032_8,1.25s,210025,OPTIMAL,1.38s
j2032_9,1.44s,182015,OPTIMAL,1.50s
j2033_1,5.21s,281842,OPTIMAL,5.30s
j2033_10,2.14s,219125,OPTIMAL,2.26s
j2033_2,3.08s,328900,OPTIMAL,3.24s
j2033_3,5.90s,317365,OPTIMAL,6.67s
j2033_4,4.41s,421013,OPTIMAL,4.48s
j2033_5,2.82s,170596,OPTIMAL,2.94s
j2033_6,7.92s,257368,OPTIMAL,8.05s
j2033_7,3.72s,339594,OPTIMAL,3.84s
j2033_8,7.44s,331669,OPTIMAL,7.53s
j2033_9,2.31s,399230,OPTIMAL,2.98s
j2034_1,3.35s,303229,OPTIMAL,3.47s
j2034_10,3.64s,389451,OPTIMAL,3.79s
